WordID	CategoryID	WordContent	WordPhoto	Sound	Count	CountTrue	CountFalse
154	10	peas	                        peas	peas	4	0	0
155	10	spinach	                        spinach	spinach	7	0	0
156	10	tomato	                        tomato	tomato	6	0	0
157	11	ambulance	                        ambulance	ambulance	9	0	0
158	11	bicycle	                        bicycle	bicycle	7	0	0
159	11	bus	                        bus	bus	3	0	0
160	11	car	                        car	car	3	0	0
161	11	helicopter	                        helicopter	helicopter	10	0	0
162	11	jet	                        jet	jet	3	0	0
163	11	motorbike	                        motorbike	motorbike	9	0	0
164	11	sailboat	                        sailboat	sailboat	8	0	0
165	11	scooter	                        scooter	scooter	7	0	0
166	11	snowmobile	                        snowmobile	snowmobile	10	0	0
167	11	submarine	                        submarine	submarine	9	0	0
168	11	taxi	                        taxi	taxi	4	0	0
169	11	train	                        train	train	5	0	0
170	11	truck	                        truck	truck	5	0	0
171	11	balloon	                        balloon	balloon	7	0	0
172	12	monster	                        monster	monster	7	0	0
173	12	alien	                        alien	alien	5	0	0
174	12	man	                        man	man	3	0	0
175	12	woman	                        woman	woman	5	0	0
176	12	baby	                        baby	baby	4	0	0
177	12	child	                        child	child	5	0	0
178	12	boy	                        boy	boy	3	0	0
179	12	girl	                        girl	girl	4	0	0
180	12	robot	                        robot	robot	5	0	0
181	12	sister	                        sister	sister	6	0	0
182	12	brother	                        brother	brother	7	0	0
183	12	grandmother	                        grandmother	grandmother	11	0	0
184	12	grandfather	                        grandfather	grandfather	11	0	0
185	12	father	                        father	father	6	0	0
186	12	mother	                        mother	mother	6	0	0
187	12	men	                        men	men	3	0	0
188	12	women	                        women	women	5	0	0
